definition,aoa,category,lexical_category,lexical_class,uni_lemma
airplane,16.5388548919646,vehicles,nouns,nouns,airplane
all,20.6783753248161,quantifiers,function_words,function_words,all
all gone,68.0524533925384,descriptive_words,predicates,adjectives,all gone
animal,17.5288803405888,animals,nouns,nouns,animal
another,18.9988500223783,quantifiers,function_words,function_words,another
apple,18.2447746584088,food_drink,nouns,nouns,apple
arm,16.3277678506193,body_parts,nouns,nouns,arm
asleep,16.9787904064319,descriptive_words,predicates,adjectives,asleep
aunt,31.1852853467144,people,other,other,aunt
away,20.2486020331187,locations,function_words,function_words,away
baa baa,41.2209524128128,sounds,other,other,baa baa
baby,-5.38319630000684,people,other,other,baby
babysitter,29.3411878919248,people,other,other,babysitter
babysitter's name,25.7146614209669,people,other,other,babysitter's name
back,19.1317326333195,locations,function_words,function_words,back
backyard,17.3143959028779,outside,nouns,nouns,yard
bad,19.198394222875,descriptive_words,predicates,adjectives,bad
ball,10.310611904324,toys,nouns,nouns,ball
balloon,24.2657455472568,toys,nouns,nouns,balloon
banana,26.904194848724,food_drink,nouns,nouns,banana
bath,35.8548743423001,games_routines,other,other,bath
bathroom,14.0096117777468,furniture_rooms,nouns,nouns,bathroom
bathtub,12.3963839023462,furniture_rooms,nouns,nouns,bathtub
beach,25.1368545469191,outside,nouns,nouns,beach
beads,27.0748982562406,clothing,nouns,nouns,beads
bear,20.6280016459071,animals,nouns,nouns,bear
bed,13.4940357803185,furniture_rooms,nouns,nouns,bed
bedroom,15.2726705665955,furniture_rooms,nouns,nouns,bedroom
bee,20.6172892735456,animals,nouns,nouns,bee
belly button,15.336791916432,body_parts,nouns,nouns,belly button
bib,16.1636630405132,clothing,nouns,nouns,bib
bicycle,17.8943330499828,vehicles,nouns,nouns,bicycle
big,19.2209207812172,descriptive_words,predicates,adjectives,big
bird,19.9630428581522,animals,nouns,nouns,bird
bite,13.8188019632832,action_words,predicates,verbs,bite
blanket,14.0499343705351,household,nouns,nouns,blanket
block,16.3120351354226,toys,nouns,nouns,block
blow,14.7824257958675,action_words,predicates,verbs,blow
blue,23.5105246377982,descriptive_words,predicates,adjectives,blue
book,9.60756274090975,toys,nouns,nouns,book
boots,19.3870854659173,clothing,nouns,nouns,boots
bottle,10.7710910388186,household,nouns,nouns,bottle
bowl,16.20018607577,household,nouns,nouns,bowl
box,17.346967456006,household,nouns,nouns,box
boy,19.7851597343625,people,other,other,boy
bread,16.2833213131953,food_drink,nouns,nouns,bread
break,18.7529270412241,action_words,predicates,verbs,break
breakfast,13.6269165846833,games_routines,other,other,breakfast
bring,13.4721394391962,action_words,predicates,verbs,bring
broken,19.0750082993336,descriptive_words,predicates,adjectives,broken
broom,16.747647405528,household,nouns,nouns,broom
brother,-5.32950125969634,people,other,other,brother
brush,14.2098261455595,household,nouns,nouns,brush
bubbles,19.8349666618071,toys,nouns,nouns,bubbles
bug,20.0466616703826,animals,nouns,nouns,bug
bump,20.0641288179809,action_words,predicates,verbs,bump
bunny,16.7750164531206,animals,nouns,nouns,bunny
bus,19.5929456649819,vehicles,nouns,nouns,bus
butter,20.7001351810812,food_drink,nouns,nouns,butter
butterfly,18.4912544636954,animals,nouns,nouns,butterfly
button,17.9142181105173,clothing,nouns,nouns,button
bye,11.6839455227879,games_routines,other,other,bye
cake,22.0410236475114,food_drink,nouns,nouns,cake
candy,19.8287580339344,food_drink,nouns,nouns,candy
car,12.9210144224418,vehicles,nouns,nouns,car
careful,13.881048053458,descriptive_words,predicates,adjectives,careful
carrots,17.474541191773,food_drink,nouns,nouns,carrots
cat,19.6174595096458,animals,nouns,nouns,cat
cereal,15.1976442596314,food_drink,nouns,nouns,cereal
chair,14.2939008946216,furniture_rooms,nouns,nouns,chair
cheek,19.3718201047628,body_parts,nouns,nouns,cheek
cheerios,14.068845243293,food_drink,nouns,nouns,cheerios
